front,back
pageant,野外劇 見せびらかし
paradigm,判例 典型
paralysis,麻痺
parameter,媒介変数 限界
parenthesis,括弧
parody,滑稽なものまね
particularity,特殊性 私事
partisan,熱心な支持者
pastel,パステル
pawn,質 抵当物 人質
payoff,報酬 賄路
peacekeeping,平和維持
peacetime,平和な時
pendant,ペンダント
pendulum,振り子
penis,ペニス
pep,元気
peripheral,周辺機器
perplexity,当惑 困った事 難局
perspiration,発汗
petticoat,ペチコート
phoenix,フェニックス
piss,おしっこ
plaything,おもちゃ
poise,つり合い 落ち着き
poker,ポーカー
polytechnic,工芸学校 工芸
porcelain,磁器 磁器製品
potter,陶工
prawn,クルマエビ
premiere,初演
projector,発起人 投光器
proliferation,拡散
promenade,散歩
proponent,支持者
propriety,礼儀正しさ 適正
protectionism,保護貿易主義
prowl,うろつき
proximity,近接
proxy,代理
pulpit,説教壇 牧師
punk,不良
purport,意図
pygmy,ピグミー 《アフリカの原住⺠》
quarry,採石場 源泉
quid,かみたばこ
racecourse,競馬用走路
ramble,散歩
ration,割り当て 配給品
raven,ワタリガラス
rebate,一部払い戻し 割戻し
rebirth,再生 復活
recourse,依頼 頼みとするもの
referendum,国⺠投票
regulator,取り締まる人
relativity,相対性
remittance,送金 送金額
repertoire,レパートリー 演奏曲目
repository,収納場所 倉庫
resin,樹脂 合成樹脂
resonance,共鳴 共振
restart,再起動
rethink,再考
rift,不和
rotary,円形交差点
royalist,王制主義者
rubble,砕石 瓦礫
ruby,ルビー 真紅の
rung,梯子（はしご）の横木
sabotage,妨害行為 破壊行為
safari,サファリ
saga,武勇談 大河小説
sandstone,砂岩
savor,風味 趣き
scapegoat,身代わり 贖罪のやぎ
scribble,落書き
scurry,小走り
sedan,セダン
selector,選別機
semblance,外形 外観
semicircle,半円
seniority,年⻑
sesame,ゴマ ゴマの実
sham,見せかけ 偽物
shimmer,ゆらめく光
shipwreck,難破 難破船
shortcoming,欠点 不足
shorthand,速記
showcase,陳列ケース
showdown,暴露 対決
shred,断片 僅少
shroud,死体を包む布 覆い
shuffle,トランプを切ること
shuttle,折返し運転
simmer,とろ火 とろ火の状態
skull,頭蓋骨 頭
slate,石板 スレート
smock,上っ張り
snowflake,雪片
socialization,社交的にすること
solidarity,団結 連帯
soot,すす
spasm,けいれん
spawn,卵 菌糸
speculator,投機家
sperm,精子
sprout,芽 若枝
spurt,噴出
sterling,英国通貨
stopover,途中下車 立ち寄り先
stoppage,停止 障害
strut,支柱
stub,控え 半券
subculture,サブカルチャー
subdivision,分譲地
suitor,請願者
sulfur,硫⻩ 《非金属元素》
sunburn,日焼け 日焼け色
surveillance,監視 監督
surveyor,測量者 測量技師
suspender,サスペンダー
sustenance,生命を維持するもの
swerve,それること
syrup,シロップ
tab,つけ札 ラベル
tactic,戦略 戦術
